_1,_2,_3
27432,46490,3
46490,46490,2
45507,32402,1
24385,32402,1
38271,38271,2
38271,20372,1
20372,20372,11
45507,46567,1
30472,17636,1
17636,17636,4
46782,28175,1
39911,39911,1
46799,30578,1
43793,45507,3
46869,38582,1
38582,38582,1
836,31582,1
31582,31582,1
44701,31434,1
35644,46374,1
35644,35644,28
35503,28175,1
46374,46374,1
35644,24790,4
47110,47110,2
44456,44044,1
47078,47078,1
45432,47078,1
35644,45191,8
0,12345,3
47212,47212,2
29587,45821,3
47205,47239,1
47239,47239,1
8479,25867,1
44256,1151,1
35644,44114,1
47354,44114,1
38707,14904,1
15884,44114,2
36977,14904,1
47380,28931,1
40277,14675,1
43921,35644,1
47513,45048,1
35644,44688,1
44688,44688,4
47279,39308,1
39308,39308,2
46628,44114,2
47728,47728,5
41801,41801,1
35644,26562,1
47698,42889,1
47792,47802,1
6550,47844,1
47959,47959,2
8560,45297,1
41204,41204,5
49097,43294,2
49114,49114,1
35644,49154,1
69301,49154,1
49299,45603,1
33198,33198,4
381,33198,1
37822,47242,1
47242,47242,1
24790,24790,2
0,49544,1
45182,8560,1
49597,45431,1
46143,45431,1
49598,41886,1
29412,41886,1
13023,43770,1
32192,43770,1
28175,44299,2
8820,49833,1
35644,43193,1
13736,47308,1
381,49893,1
35644,49501,1
49501,49501,1
35644,47569,1
49700,49700,20
49226,49833,1
50146,50154,1
50256,50256,1
14588,16879,1
45262,29587,2
34269,34269,49
46645,46645,1
381,14265,1
36977,26674,1
44114,8820,1
23305,8820,3
50599,40853,1
381,50531,1
50531,50531,1
40853,29392,1
29392,29392,1
49349,47412,4
47412,47412,14
8820,23305,1
50669,28175,1
50689,50706,1
39851,42634,1
32429,32958,2
13370,13370,5
10548,10548,1
50727,50831,2
50835,50835,2
43077,41204,2
50869,924,1
50917,50917,1
13023,13023,14
50727,49937,2
50956,28175,1
51084,51084,4
50993,50993,2
8501,51131,1
6550,51198,1
381,43768,1
14715,43768,1
31086,31086,10
51230,47488,1
35644,51129,4
13413,15790,1
45191,26394,2
381,51416,1
9273,9273,1
45264,50727,1
50292,50292,2
44574,44574,1
51621,51621,3
47906,13370,2
28175,27526,1
51670,50727,1
41726,50146,1
33759,33759,5
51724,29587,1
41740,41740,1
51778,51778,1
51454,38231,1
51592,26748,1
51798,51798,2
60002,33854,1
82522,33854,1
35644,51880,1
21825,38487,1
47488,45610,1
51931,51931,1
51939,44039,3
49914,49914,12
42587,49914,2
37967,37967,2
52121,52121,1
54096,51988,1
50471,52129,1
35644,50174,2
50174,50174,1
22074,52109,1
29587,52187,4
50174,52191,1
25223,52237,1
52237,52237,1
51852,51852,1
45374,30212,1
46375,50727,7
51904,51904,1
10654,1330,2
28175,52390,1
44456,52390,1
50211,50211,5
45264,47380,2
52109,52109,10
52483,52473,1
35644,46527,1
46527,46527,2
29412,46375,1
52555,29587,2
51714,28175,7
52611,52611,1
52623,19172,1
47522,47522,2
0,51845,2
924,51845,2
29587,51845,3
51208,45064,1
45064,45064,3
52902,52902,7
924,51209,1
44456,33466,1
35613,49293,1
51126,51126,4
16538,52987,1
35644,52987,1
52987,52987,1
14519,44456,2
61261,44456,1
8560,53068,1
52089,51604,1
50727,38506,1
2893,2893,5
35644,2893,4
41728,52935,1
45382,45382,1
47832,41929,1
42377,42377,1
50727,39387,1
27114,53252,1
47832,47832,35
35644,47832,1
42498,40788,1
381,15828,1
26187,26187,1
53390,53390,1
52994,26394,2
53137,53137,1
53507,13370,1
381,13370,1
35644,13370,1
53516,53516,2
23334,23334,3
53477,45264,4
52719,133,1
53565,53565,6
49542,38751,1
53662,50363,1
53001,53001,7
29587,53682,1
43077,53400,1
53400,53400,2
29575,9988,2
45264,9988,1
50727,47265,1
49617,49617,3
53793,53793,3
94206,52089,1
65131,24883,1
53829,924,1
53498,53498,2
53283,53283,3
53985,53985,2
36977,53988,1
53833,29412,1
17320,29412,1
54120,54120,1
15496,15496,1
47832,54216,1
47832,54128,1
54128,54128,1
53689,47832,1
381,23240,3
35644,23240,1
38538,19167,1
17208,53030,1
18487,17916,1
44477,52089,2
14779,52068,3
52068,52068,10
381,51578,1
38887,54299,2
35386,35386,4
53582,53582,1
52793,52089,1
54722,54722,1
31457,31457,5
28328,28328,2
45264,54837,1
54836,54836,7
5380,5380,5
31086,5380,1
54981,54981,2
44139,53283,3
44139,55027,1
29475,44139,1
54992,44139,1
45610,54922,5
14519,47359,1
29575,56159,2
56192,56192,1
45374,38188,1
51129,51129,11
44329,56229,1
51129,53372,1
53372,53372,2
31878,33194,1
10216,56355,2
56355,56355,2
12363,32963,1
44785,44785,4
53278,45374,4
56344,56406,1
55108,53721,1
56499,56499,1
56401,56401,5
16220,56533,1
55010,56533,1
6550,54221,1
33934,43154,1
43154,43154,2
45264,61686,1
8013,37184,1
17208,6550,1
15569,17208,1
984,984,7
45935,54944,2
49835,21889,1
21889,21889,1
51143,51143,1
54395,54395,55
